Country,R0,Strategy,Social_distance,Deaths per week at trigger,total_pop,total_infected,total_deaths,total_hospital,peak_hospital_bed_demand,total_critical,peak_critical_bed_demand
Afghanistan,3,Unmitigated,0.75,N/A,38928341,36140196,76973,567916,240272,102693,39621
Albania,3,Unmitigated,0.75,N/A,2877800,2464424,19300,97298,36061,25569,8024
Algeria,3,Unmitigated,0.75,N/A,43851043,38824343,191145,1118956,459923,253553,90068
Angola,3,Unmitigated,0.75,N/A,32866268,30110663,57385,438605,183326,75970,29050
Antigua and Barbuda,3,Unmitigated,0.75,N/A,97928,84247,504,2795,1048,667,215
Argentina,3,Unmitigated,0.75,N/A,45195777,39126816,259966,1276885,489073,342159,110413
Armenia,3,Unmitigated,0.75,N/A,2963234,2603481,18054,95101,35775,24020,7685
Aruba,3,Unmitigated,0.75,N/A,106766,88963,737,3715,1396,981,310
Australia,3,Unmitigated,0.75,N/A,25499881,21991217,185236,881939,330675,244401,76396
Austria,3,Unmitigated,0.75,N/A,9006400,7559177,76313,350262,129800,100950,30976
Azerbaijan,3,Unmitigated,0.75,N/A,10139175,9102969,43606,276438,104967,57585,19143
Bahamas,3,Unmitigated,0.75,N/A,393248,340746,1789,10526,3943,2381,769
Bahrain,3,Unmitigated,0.75,N/A,1701583,1542640,4381,39064,15845,5837,2190
Bangladesh,3,Unmitigated,0.75,N/A,164689383,154022806,640815,3930633,1649241,850522,313157
Barbados,3,Unmitigated,0.75,N/A,287371,238847,2287,10319,3936,3034,951
Belarus,3,Unmitigated,0.75,N/A,9449321,8118548,68045,341478,126904,90009,28279
Belgium,3,Unmitigated,0.75,N/A,11589616,10305691,110545,489543,195265,146624,48557
Belize,3,Unmitigated,0.75,N/A,397621,353490,1316,8122,3134,1748,585
Benin,3,Unmitigated,0.75,N/A,12123198,11180031,28492,194397,81572,38086,14233
Bhutan,3,Unmitigated,0.75,N/A,771612,721036,3279,18912,7959,4366,1588
Bolivia,3,Unmitigated,0.75,N/A,11673029,10362045,49399,263020,102139,65645,21745
Bosnia and Herzegovina,3,Unmitigated,0.75,N/A,3280815,2778822,25239,124898,46051,33536,10404
Botswana,3,Unmitigated,0.75,N/A,2351625,2185830,7172,47521,19740,9495,3476
Brazil,3,Unmitigated,0.75,N/A,212559409,182791505,1102439,5975916,2248613,1465863,469512
Brunei Darussalam,3,Unmitigated,0.75,N/A,437483,397650,1785,12042,4969,2365,865
Bulgaria,3,Unmitigated,0.75,N/A,6948445,5813959,59835,276774,102010,79185,24336
Burkina Faso,3,Unmitigated,0.75,N/A,20903278,19217285,38156,291903,122046,50935,19354
Burundi,3,Unmitigated,0.75,N/A,11890781,10898277,21496,161782,67626,28486,10805
Cabo Verde,3,Unmitigated,0.75,N/A,555988,515151,2008,12581,5193,2647,962
Cambodia,3,Unmitigated,0.75,N/A,16718971,14764027,54949,365432,149919,72454,26304
Cameroon,3,Unmitigated,0.75,N/A,26545864,24484798,53694,395803,165183,70597,26637
Canada,3,Unmitigated,0.75,N/A,37742157,33067353,326322,1509416,588836,433148,140912
Central African Republic,3,Unmitigated,0.75,N/A,4829764,4459268,9953,69496,29236,13092,4958
Chad,3,Unmitigated,0.75,N/A,16425859,15039833,30223,217409,91537,39627,14974
Channel Islands,3,Unmitigated,0.75,N/A,173859,147500,1384,6554,2429,1835,568
Chile,3,Unmitigated,0.75,N/A,19116209,16207664,118765,592342,223725,157185,49782
China,3,Unmitigated,0.75,N/A,1439323774,1300804549,9890457,53821210,21549628,13123394,4531927
"Hong Kong SAR, China",3,Unmitigated,0.75,N/A,7496988,7034214,88802,383785,169089,117912,43311
"Macao SAR, China",3,Unmitigated,0.75,N/A,649342,587661,4685,25574,10239,6213,2144
"China, Taiwan Province of China",3,Unmitigated,0.75,N/A,23816775,21387957,212338,1025106,403488,280895,93378
Colombia,3,Unmitigated,0.75,N/A,50882884,44096507,252064,1364689,515744,333972,108414
Comoros,3,Unmitigated,0.75,N/A,869595,804559,2017,14523,6059,2678,1007
"Congo, Rep.",3,Unmitigated,0.75,N/A,5518092,5096722,11779,88504,36711,15512,5842
Costa Rica,3,Unmitigated,0.75,N/A,5094114,4365461,28049,147023,55398,37111,11835
Cote d'Ivoire,3,Unmitigated,0.75,N/A,26378275,24320357,55233,403555,168588,73470,27588
Croatia,3,Unmitigated,0.75,N/A,4105268,3424974,36127,162878,60312,47878,14662
Cuba,3,Unmitigated,0.75,N/A,11326616,9353709,86419,408509,154360,114722,36028
Curacao,3,Unmitigated,0.75,N/A,164100,136542,1328,6030,2311,1759,558
Cyprus,3,Unmitigated,0.75,N/A,1207361,1046888,8029,40519,15089,10657,3347
Czechia,3,Unmitigated,0.75,N/A,10708982,9050655,86700,411771,152187,114839,35369
"Korea, Dem. People’s Rep.",3,Unmitigated,0.75,N/A,25778815,23152081,157944,872256,350112,209599,72399
"Congo, Dem. Rep.",3,Unmitigated,0.75,N/A,89561404,82164295,194156,1322652,557103,255863,97031
Denmark,3,Unmitigated,0.75,N/A,5792203,4854981,48190,219266,81321,63846,19596
Djibouti,3,Unmitigated,0.75,N/A,988002,916137,3278,21705,8949,4335,1585
Dominican Republic,3,Unmitigated,0.75,N/A,10847904,9556193,47536,261450,100437,62769,20674
Ecuador,3,Unmitigated,0.75,N/A,17643060,15536231,76661,422481,162098,101482,33536
Egypt,3,Unmitigated,0.75,N/A,102334403,94671014,362330,2250129,936058,480573,175631
El Salvador,3,Unmitigated,0.75,N/A,6486201,5692694,30611,159333,61416,40371,13239
Equatorial Guinea,3,Unmitigated,0.75,N/A,1402985,1287098,2608,21009,8630,3426,1292
Eritrea,3,Unmitigated,0.75,N/A,3546427,3291069,10340,62547,26480,13680,5099
Estonia,3,Unmitigated,0.75,N/A,1326539,1116452,11444,50954,19039,15137,4693
Eswatini,3,Unmitigated,0.75,N/A,1160164,1079088,3148,19901,8419,4141,1545
Ethiopia,3,Unmitigated,0.75,N/A,114963583,106264340,281678,1863037,784029,375529,138813
Fiji,3,Unmitigated,0.75,N/A,896444,799467,3494,22692,9292,4650,1672
Finland,3,Unmitigated,0.75,N/A,5540718,4662980,46008,215475,80614,61080,19032
France,3,Unmitigated,0.75,N/A,65273512,59173552,731625,2987758,1233274,967239,328557
French Guiana,3,Unmitigated,0.75,N/A,298682,265602,1016,6420,2455,1342,449
French Polynesia,3,Unmitigated,0.75,N/A,280904,253877,1582,8948,3624,2093,734
Gabon,3,Unmitigated,0.75,N/A,2225728,2051004,5726,39934,16536,7602,2805
Gambia,3,Unmitigated,0.75,N/A,2416664,2216662,4520,33958,14166,6071,2287
Georgia,3,Unmitigated,0.75,N/A,3989175,3450187,27941,137794,51619,37006,11652
Germany,3,Unmitigated,0.75,N/A,83783945,73426368,884373,3801734,1502309,1173591,383550
Ghana,3,Unmitigated,0.75,N/A,31072945,28768770,74174,549719,227892,98691,36866
Greece,3,Unmitigated,0.75,N/A,10423056,8671791,99000,426451,159009,131442,40171
Grenada,3,Unmitigated,0.75,N/A,112519,97147,600,3139,1187,795,255
Guadeloupe,3,Unmitigated,0.75,N/A,400127,330901,3553,15188,5912,4687,1500
Guam,3,Unmitigated,0.75,N/A,168783,150254,1037,5385,2150,1374,468
Guatemala,3,Unmitigated,0.75,N/A,17915567,16036279,56167,332414,130238,74486,25443
Guinea,3,Unmitigated,0.75,N/A,13132792,12096855,27353,193090,81113,36354,13698
Guinea-Bissau,3,Unmitigated,0.75,N/A,1967998,1815401,4019,29699,12375,5308,2001
Guyana,3,Unmitigated,0.75,N/A,786559,694407,3268,18666,7151,4338,1434
Haiti,3,Unmitigated,0.75,N/A,11402533,10191506,36299,223219,86669,48189,16339
Honduras,3,Unmitigated,0.75,N/A,9904608,8840695,31599,193064,75205,41866,14151
Hungary,3,Unmitigated,0.75,N/A,9660350,8118426,78816,371119,136791,104324,32001
Iceland,3,Unmitigated,0.75,N/A,341250,294670,2404,11685,4366,3189,1000
India,3,Unmitigated,0.75,N/A,1380004385,1292426271,6022132,35894328,15063300,7972354,2927196
Indonesia,3,Unmitigated,0.75,N/A,273523621,246077180,1168219,7335507,3004233,1543439,557510
Iran (Islamic Republic of),3,Unmitigated,0.75,N/A,83992953,75590529,370783,2308836,948251,491258,176276
Iraq,3,Unmitigated,0.75,N/A,40222503,34816936,97226,691907,286326,129689,48168
Ireland,3,Unmitigated,0.75,N/A,4937796,4328022,32931,165610,62398,43562,13801
Israel,3,Unmitigated,0.75,N/A,8655541,7641595,49634,246470,94142,65738,21166
Italy,3,Unmitigated,0.75,N/A,60461828,50281111,609676,2625555,972831,809681,246249
Jamaica,3,Unmitigated,0.75,N/A,2961161,2572026,14943,79224,30126,19766,6380
Japan,3,Unmitigated,0.75,N/A,126476458,101788506,1381819,5521836,2066796,1831537,553056
Jordan,3,Unmitigated,0.75,N/A,10203140,9055930,29975,204044,84956,39679,14619
Kazakhstan,3,Unmitigated,0.75,N/A,18776707,16853130,84127,495929,190161,111507,36969
Kenya,3,Unmitigated,0.75,N/A,53771300,49869539,105459,827374,342728,140351,52863
Kiribati,3,Unmitigated,0.75,N/A,119446,104380,358,2420,996,474,173
Kuwait,3,Unmitigated,0.75,N/A,4270563,3863804,12946,114726,45941,17099,6215
Kyrgyz Republic,3,Unmitigated,0.75,N/A,6524191,5900037,20851,139409,54562,27473,9506
Lao PDR,3,Unmitigated,0.75,N/A,7275556,6426976,21991,148444,61392,28777,10601
Latvia,3,Unmitigated,0.75,N/A,1886202,1573512,16431,74056,27507,21747,6706
Lebanon,3,Unmitigated,0.75,N/A,6825442,6131042,33325,190274,77851,44194,15657
Lesotho,3,Unmitigated,0.75,N/A,2142252,1988339,7132,44473,18543,9493,3479
Liberia,3,Unmitigated,0.75,N/A,5057677,4681087,12091,83929,35050,16065,6009
Libya,3,Unmitigated,0.75,N/A,6871287,6184603,23441,160972,66789,30934,11397
Lithuania,3,Unmitigated,0.75,N/A,2722291,2260352,24248,107806,40145,32092,9871
Luxembourg,3,Unmitigated,0.75,N/A,625976,545553,4325,21993,8322,5719,1839
Madagascar,3,Unmitigated,0.75,N/A,27691019,25585584,63480,447454,187086,84096,31356
Malawi,3,Unmitigated,0.75,N/A,19129955,17651581,37367,272012,114232,49573,18738
Malaysia,3,Unmitigated,0.75,N/A,32365998,29147233,148280,885796,362321,196478,70275
Maldives,3,Unmitigated,0.75,N/A,540542,493928,1623,11531,4723,2149,796
Mali,3,Unmitigated,0.75,N/A,20250834,18557804,36576,270505,113207,48639,18536
Malta,3,Unmitigated,0.75,N/A,441539,369237,3772,17199,6349,5008,1535
Martinique,3,Unmitigated,0.75,N/A,375265,304393,3678,15295,5953,4885,1546
Mauritania,3,Unmitigated,0.75,N/A,4649660,4294210,10929,77719,32302,14518,5427
Mauritius,3,Unmitigated,0.75,N/A,1271767,1152776,9130,46371,18983,12031,4193
Mayotte,3,Unmitigated,0.75,N/A,272813,253417,811,4967,2095,1073,395
Mexico,3,Unmitigated,0.75,N/A,128932753,113215128,567846,3186360,1216236,754360,246848
Micronesia (Fed. States of),3,Unmitigated,0.75,N/A,115021,101212,342,2437,992,452,164
Mongolia,3,Unmitigated,0.75,N/A,3278292,2910923,10970,76238,31598,14496,5390
Montenegro,3,Unmitigated,0.75,N/A,628062,541238,4386,21856,8138,5817,1835
Morocco,3,Unmitigated,0.75,N/A,36910558,33007185,177366,1027568,418234,235102,82813
Mozambique,3,Unmitigated,0.75,N/A,31255435,28765983,64288,450800,189972,84882,32113
Myanmar,3,Unmitigated,0.75,N/A,54409794,48995734,224280,1426350,585376,296811,107239
Namibia,3,Unmitigated,0.75,N/A,2540916,2352352,6679,45192,18841,8876,3289
Nepal,3,Unmitigated,0.75,N/A,29136808,27306425,111877,668977,282618,147773,54748
Netherlands,3,Unmitigated,0.75,N/A,17134873,14365190,144137,659956,245262,191297,58804
New Caledonia,3,Unmitigated,0.75,N/A,285491,257682,1661,9209,3720,2206,769
New Zealand,3,Unmitigated,0.75,N/A,4822233,4135860,34945,167724,62678,46380,14482
Nicaragua,3,Unmitigated,0.75,N/A,6624554,5880597,23524,141121,54323,31231,10448
Niger,3,Unmitigated,0.75,N/A,24206636,22040235,44518,317948,134026,59161,22510
Nigeria,3,Unmitigated,0.75,N/A,206139587,189732638,413526,3104658,1295587,547352,207005
North Macedonia,3,Unmitigated,0.75,N/A,2083380,1805547,13626,72260,26683,18032,5697
Norway,3,Unmitigated,0.75,N/A,5421242,4633217,41268,195366,72851,54643,16989
Oman,3,Unmitigated,0.75,N/A,5106622,4531573,11870,103083,41805,15723,5884
Pakistan,3,Unmitigated,0.75,N/A,220892331,206813615,691824,4403621,1864806,917211,343609
Panama,3,Unmitigated,0.75,N/A,4314768,3780459,20801,110940,42418,27655,9035
Papua New Guinea,3,Unmitigated,0.75,N/A,8947027,7827395,22930,169143,69848,30529,11297
Paraguay,3,Unmitigated,0.75,N/A,7132530,6308582,27638,157099,60631,36816,12199
Peru,3,Unmitigated,0.75,N/A,32971846,28675674,157650,861401,326720,210209,67965
Philippines,3,Unmitigated,0.75,N/A,109581085,97582964,405302,2548034,1050472,537561,194819
Poland,3,Unmitigated,0.75,N/A,37846605,32122997,297828,1445691,551940,395737,126362
Portugal,3,Unmitigated,0.75,N/A,10196707,8431162,95850,419676,155409,127172,38866
Puerto Rico,3,Unmitigated,0.75,N/A,2860840,2325498,26307,112170,43734,35035,11151
Qatar,3,Unmitigated,0.75,N/A,2881060,2598643,5795,62542,24347,7693,2743
"Korea, Rep.",3,Unmitigated,0.75,N/A,51269183,43595642,380712,1950636,714282,505263,156081
Moldova,3,Unmitigated,0.75,N/A,4033963,3523427,24013,134447,49890,31935,10184
Réunion,3,Unmitigated,0.75,N/A,895308,766270,5735,28282,10821,7621,2455
Romania,3,Unmitigated,0.75,N/A,19237682,16283637,154904,731837,271767,205971,63579
Russian Federation,3,Unmitigated,0.75,N/A,145934460,126202684,1044154,5210604,1944898,1385319,436235
Rwanda,3,Unmitigated,0.75,N/A,12952209,11987296,29846,214305,89250,39441,14831
St. Lucia,3,Unmitigated,0.75,N/A,183629,155980,1030,5398,2026,1366,436
St. Vincent and the Grenadines,3,Unmitigated,0.75,N/A,110947,95776,605,3164,1200,801,259
Samoa,3,Unmitigated,0.75,N/A,198410,172083,681,4221,1732,899,324
Sao Tome and Principe,3,Unmitigated,0.75,N/A,219161,203133,511,3529,1482,674,252
Saudi Arabia,3,Unmitigated,0.75,N/A,34813867,31434568,103202,822986,340586,137024,51551
Senegal,3,Unmitigated,0.75,N/A,16743930,15447748,37292,259076,108551,49324,18431
Serbia,3,Unmitigated,0.75,N/A,8737370,7405560,67524,323990,119850,89481,27648
Seychelles,3,Unmitigated,0.75,N/A,98340,89831,539,3031,1240,714,252
Sierra Leone,3,Unmitigated,0.75,N/A,7976985,7378611,17280,124770,52121,22779,8564
Singapore,3,Unmitigated,0.75,N/A,5850343,5476249,49923,258746,111912,66099,24426
Slovakia,3,Unmitigated,0.75,N/A,5459643,4682682,39403,199810,73655,52307,16293
Slovenia,3,Unmitigated,0.75,N/A,2078932,1742828,18053,82852,30670,23949,7369
Solomon Islands,3,Unmitigated,0.75,N/A,686878,589862,1799,12101,5035,2390,883
Somalia,3,Unmitigated,0.75,N/A,15893219,14564497,32737,223862,94340,43168,16348
South Africa,3,Unmitigated,0.75,N/A,59308690,53021201,217343,1406692,578915,288338,104612
South Sudan,3,Unmitigated,0.75,N/A,11193729,10332593,26854,180560,75753,35587,13394
Spain,3,Unmitigated,0.75,N/A,46754783,39331479,410968,1865322,693130,545853,167803
Sri Lanka,3,Unmitigated,0.75,N/A,21413250,19841593,138452,721203,299722,183192,64747
State of Palestine,3,Unmitigated,0.75,N/A,5101416,4395175,12013,85259,35359,16026,5942
Sudan,3,Unmitigated,0.75,N/A,43849269,40589416,113695,751642,315495,150596,56112
Suriname,3,Unmitigated,0.75,N/A,586634,515898,2505,14476,5523,3321,1095
Sweden,3,Unmitigated,0.75,N/A,10099270,8496869,84777,379197,141485,112952,34845
Switzerland,3,Unmitigated,0.75,N/A,8654618,7294512,72337,334363,123764,95906,29353
Syrian Arab Republic,3,Unmitigated,0.75,N/A,17500657,16243203,59077,376968,156189,78343,28623
Tajikistan,3,Unmitigated,0.75,N/A,9537642,8607513,23073,170117,67199,30722,10873
Thailand,3,Unmitigated,0.75,N/A,69799978,62828210,536081,2720705,1079038,707576,239456
Timor-Leste,3,Unmitigated,0.75,N/A,1318442,1134428,3842,24366,9988,5065,1823
Togo,3,Unmitigated,0.75,N/A,8278737,7656800,17559,131333,54802,23439,8813
Tonga,3,Unmitigated,0.75,N/A,105697,92665,403,2346,960,535,190
Trinidad and Tobago,3,Unmitigated,0.75,N/A,1399491,1189922,8150,43011,16157,10783,3432
Tunisia,3,Unmitigated,0.75,N/A,11818618,10829721,65681,359179,147277,87060,30688
Turkey,3,Unmitigated,0.75,N/A,84339067,75638628,405452,2321985,886555,538771,177357
Turkmenistan,3,Unmitigated,0.75,N/A,6031187,5466961,19367,131528,51424,25651,8855
Uganda,3,Unmitigated,0.75,N/A,45741000,41902539,71610,572142,239347,95681,36570
Ukraine,3,Unmitigated,0.75,N/A,43733759,37537514,328913,1620489,600963,438024,136218
United Arab Emirates,3,Unmitigated,0.75,N/A,9890400,8900753,18606,209171,80858,24647,8822
United Kingdom,3,Unmitigated,0.75,N/A,67886004,59462912,601823,2683313,1054670,796883,259936
Tanzania,3,Unmitigated,0.75,N/A,59734213,54993789,118017,876453,365633,156898,59504
United States,3,Unmitigated,0.75,N/A,331002647,293011173,2654410,12452700,4896026,3526519,1158327
United States Virgin Islands,3,Unmitigated,0.75,N/A,104423,86386,906,3982,1542,1203,383
Uruguay,3,Unmitigated,0.75,N/A,3473727,2939850,25683,113846,43823,33991,10775
Uzbekistan,3,Unmitigated,0.75,N/A,33469199,30264963,108671,748181,290785,144635,49554
Vanuatu,3,Unmitigated,0.75,N/A,307150,266284,810,5594,2322,1075,400
Venezuela (Bolivarian Republic of),3,Unmitigated,0.75,N/A,28435943,25059281,128323,721896,276487,170283,56027
Vietnam,3,Unmitigated,0.75,N/A,97338583,87684406,517491,2938204,1200642,688330,242573
Western Sahara,3,Unmitigated,0.75,N/A,597330,551289,1634,12736,5146,2145,788
Yemen,3,Unmitigated,0.75,N/A,29825968,27588973,64276,464007,193408,85061,31918
Zambia,3,Unmitigated,0.75,N/A,18383956,16904019,30969,242707,101116,41261,15592
Zimbabwe,3,Unmitigated,0.75,N/A,14862927,13767424,32726,227962,95738,43543,16371
Afghanistan,3,"0.2 deaths per 100,000 per week trigger",0.75,77.856682,38928341,2356700,7208,46011,13428,9773,2635
Albania,3,"0.2 deaths per 100,000 per week trigger",0.75,5.7556,2877800,265461,1108,6952,2154,1461,407
Algeria,3,"0.2 deaths per 100,000 per week trigger",0.75,87.702086,43851043,2492642,10318,69364,19733,13988,3637
Angola,3,"0.2 deaths per 100,000 per week trigger",0.75,65.732536,32866268,3071870,7498,51736,15298,10029,2682
Antigua and Barbuda,3,"0.2 deaths per 100,000 per week trigger",0.75,0.195856,97928,5533,21,122,35,27,7
Argentina,3,"0.2 deaths per 100,000 per week trigger",0.75,90.391554,45195777,3687144,14481,80469,24605,19730,5435
Armenia,3,"0.2 deaths per 100,000 per week trigger",0.75,5.926468,2963234,240499,876,5946,1774,1183,327
Aruba,3,"0.2 deaths per 100,000 per week trigger",0.75,0.213532,106766,5844,29,158,47,38,10
Australia,3,"0.2 deaths per 100,000 per week trigger",0.75,50.999762,25499881,1653688,6882,42721,12571,9146,2459
Austria,3,"0.2 deaths per 100,000 per week trigger",0.75,18.0128,9006400,705814,3493,20782,6386,4844,1323
Azerbaijan,3,"0.2 deaths per 100,000 per week trigger",0.75,20.27835,10139175,1047257,3236,23959,7297,4257,1193
Bahamas,3,"0.2 deaths per 100,000 per week trigger",0.75,0.786496,393248,26871,90,565,170,121,33
Bahrain,3,"0.2 deaths per 100,000 per week trigger",0.75,3.403166,1701583,154004,568,4458,1335,772,217
Bangladesh,3,"0.2 deaths per 100,000 per week trigger",0.75,329.378766,164689383,12435481,52141,309764,90867,69062,17358
Barbados,3,"0.2 deaths per 100,000 per week trigger",0.75,0.574742,287371,14296,83,398,119,108,28
Belarus,3,"0.2 deaths per 100,000 per week trigger",0.75,18.898642,9449321,445504,1864,12121,3406,2574,644
Belgium,3,"0.2 deaths per 100,000 per week trigger",0.75,23.179232,11589616,443856,2834,15709,4419,3770,980
Belize,3,"0.2 deaths per 100,000 per week trigger",0.75,0.795242,397621,42732,114,736,230,151,42
Benin,3,"0.2 deaths per 100,000 per week trigger",0.75,24.246396,12123198,1170030,3340,21847,6589,4458,1232
Bhutan,3,"0.2 deaths per 100,000 per week trigger",0.75,1.543224,771612,63003,278,1575,460,364,95
Bolivia,3,"0.2 deaths per 100,000 per week trigger",0.75,23.346058,11673029,808289,2401,14497,4265,3279,888
Bosnia and Herzegovina,3,"0.2 deaths per 100,000 per week trigger",0.75,6.56163,3280815,151655,685,4267,1208,919,237
Botswana,3,"0.2 deaths per 100,000 per week trigger",0.75,4.70325,2351625,183308,604,3833,1117,798,215
Brazil,3,"0.2 deaths per 100,000 per week trigger",0.75,425.118818,212559409,11457197,44212,250182,72398,57423,15432
Brunei Darussalam,3,"0.2 deaths per 100,000 per week trigger",0.75,0.874966,437483,30777,129,902,258,173,46
Bulgaria,3,"0.2 deaths per 100,000 per week trigger",0.75,13.89689,6948445,360375,1764,10607,3112,2414,651
Burkina Faso,3,"0.2 deaths per 100,000 per week trigger",0.75,41.806556,20903278,1425866,3570,24747,7083,4818,1243
Burundi,3,"0.2 deaths per 100,000 per week trigger",0.75,23.781562,11890781,1184813,3005,20484,6234,3923,1062
Cabo Verde,3,"0.2 deaths per 100,000 per week trigger",0.75,1.111976,555988,38566,142,877,254,189,48
Cambodia,3,"0.2 deaths per 100,000 per week trigger",0.75,33.437942,16718971,1109183,4116,29104,8344,5480,1510
Cameroon,3,"0.2 deaths per 100,000 per week trigger",0.75,53.091728,26545864,2488091,6570,44774,13526,8637,2422
Canada,3,"0.2 deaths per 100,000 per week trigger",0.75,75.484314,37742157,1462914,8143,45625,13023,10598,2740
Central African Republic,3,"0.2 deaths per 100,000 per week trigger",0.75,9.659528,4829764,462645,1242,8117,2433,1597,433
Chad,3,"0.2 deaths per 100,000 per week trigger",0.75,32.851718,16425859,1965297,4915,33291,10422,6606,1928
Channel Islands,3,"0.2 deaths per 100,000 per week trigger",0.75,0.347718,173859,14046,67,395,120,87,24
Chile,3,"0.2 deaths per 100,000 per week trigger",0.75,38.232418,19116209,1303428,5733,31399,9571,7610,2052
